Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
A Commercial Shop Is Up For Sale In The Location Of Halishahar Near Navy Hospital,,,,vacant,176,chattogram,"৳4,400,000","39 No. South Halishahar Ward, Halishahar"
"In Halishahar Near Navy Hospital, A 110 Sq. Ft Shop Is Vacant For Sale.",,,,vacant,110,chattogram,"৳2,750,000","39 No. South Halishahar Ward, Halishahar"
"Buy This 2200 Sq Ft Apartment In Khulshi, Zakir Hossain Road",3,4,1,vacant,2200,chattogram,"৳13,000,000","Zakir Hossain Road, Khulshi"
"Buy This 2000 Sq Ft Apartment In Khulshi, Zakir Hossain Road",3,4,6,vacant,2000,chattogram,"৳13,000,000","Zakir Hossain Road, Khulshi"
"An apartment is ready for sale at Enayet Bazaar Ward, near United Commercial Bank Limited",3,2,3,vacant,1290,chattogram,"৳8,000,000","Goaltuli Lane, 22 No. Enayet Bazaar Ward"
A Unique Apartment In Colonel Hat Near Colonel Hat City Corporation Is Up For Sale,3,3,2,vacant,1397,chattogram,"৳5,838,000","Colonel Hat, 10 No. North Kattali Ward"
"Buy This Decent 1630 Sq Ft Ready Flat In Bayazid, Polytechnic",3,4,6,vacant,1630,chattogram,"৳8,500,000","Polytechnic, Bayazid"
"At Bayazid, Green Valley 1370 Sq Ft Apartment For Sale",3,3,1,vacant,1370,chattogram,"৳6,500,000","Green Valley, Bayazid"
&#039;At South khulsi 1450sqf ready flat for sale&#039;,,,,,,chattogram,"৳7,500,000","Road No 1, South Khulsi"
test listing ma 24.6:2,,,,,,chattogram,"৳54,235",
test listing ma 22.6:2,,,,,,chattogram,"৳6,669",
An Impressive 1750 Sq Ft Residential Apartment Is Up For Sale In The Center Of O R Nizam Road Residential Area.,,,,,,chattogram,"৳14,000,000","Nasirabad, 15 No. Bagmoniram Ward"
FUll Building Up For Sale In Lal Khan Bazaar Near To Police Institution,,,,,,chattogram,"৳350,000,000","14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar"
Very Well Designed 1314 Sq Ft Residential Flat Is There For Sale At Nasirabad,3,3,2,vacant,1314,chattogram,"৳7,570,000","Nasirabad, Bayazid"
Offering you a 1650 SQ FT flat for sale in Khulshi,3,3,9,vacant,1650,chattogram,"৳9,675,000","Yakub Future Park Housing, Khulshi"
"1500 Sq Ft Flat For Sale In Panchlaish, Katalgonj",3,3,4,vacant,1500,chattogram,"৳11,000,000","Katalgonj, Panchlaish"
"Grab This 2200 Sq Ft Apartment With 3 Beds Up For Sale At Halishahar Housing Estate, Block H",3,3,2,vacant,2200,chattogram,"৳12,100,000","26 No. North Halishahar Ward, Halishahar"
"Make This Your New Home Which Is Up For Sale In Dewan Bazar, Covering 1206 Sq Ft Space",3,3,1,vacant,1206,chattogram,"৳5,427,000","Dewan Bazar, Bakalia"
Properly Designed This 1900 Sq Ft Apartment Is Now Up For Sale In Muradpur,3,4,5,vacant,1900,chattogram,"৳14,100,000","Nasirabad Housing Society, Muradpur"
Shop Space Up For Sale In Bahaddarhat Nearby Bahaddarhat Jame Masjid,,,5,vacant,93,chattogram,"৳2,418,000","CDA Avenue, Sholokbahar"
Fully Fitted Shop Space Of 110 Sq Ft Is Ready To Sale In 9 No. North Pahartali Ward Close To Brac Bank Limited,,,1,vacant,110,chattogram,"৳3,850,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
"Agree To Buy This 111 Sq Ft Shop In 9 No. North Pahartali Ward, To Invest Rationally In Your Business",,,,vacant,111,chattogram,"৳3,885,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
"In Cosmopolitan R/A , 1120 Square Feet Medium Size Apartment Is Available For Sale",2,2,5,vacant,1120,chattogram,"৳6,720,000","Cosmopolitan R/A, 7 No. West Sholoshohor Ward"
In The Beautiful Neighborhood In Chandgaon Near By Chandgaon C.D.A Abashik Elaka Jame Moshjid A 1700 Sq.Ft Flat Is Up For Sale,3,3,4,vacant,1700,chattogram,"৳8,160,000","Chandgaon Residential Area, 4 No Chandgaon Ward"
This Nice Flat Is Now Up For Sale In South Agrabad Near South Point Hospital,3,3,2,vacant,1075,chattogram,"৳5,052,500","South Agrabad, Double Mooring"
1050 Sq Ft Ready Flat For Sale At Bayazid,2,2,6,vacant,1050,chattogram,"৳4,000,000","Chadra Nagar, Bayazid"
138 Sq Ft Shop Is Available For Sale In Halishahar Nearby Halishahar Thana,,,1,vacant,138,chattogram,"৳3,950,000","39 No. South Halishahar Ward, Halishahar"
Buy This 864 Sq Ft Apartment In 17 No West Bakalia Ward,2,2,6,vacant,864,chattogram,"৳4,800,000","17 No West Bakalia Ward, Bakalia"
Nice 1440 Sq Ft Flat Is Available For Sale In West Khulshi,3,3,8,vacant,1440,chattogram,"৳8,200,000","West Khulshi, 9 No. North Pahartali Ward"
"1800 Sq Ft Flat For Sale In A Great Locality Of Panchlaish, Sugandha Residential Area",3,3,6,vacant,1800,chattogram,"৳15,824,000","Sugandha Residential Area, Panchlaish"
"Built With Modern Amenities, Check This Flat for Sale Which Is 1860 Sq Ft in Muradpur",3,4,5,vacant,1860,chattogram,"৳13,820,000","Nasirabad Housing Society, Muradpur"
New With A View – 1841 Sq Ft Flat For Sale In South Khulsi,4,4,2,vacant,1841,chattogram,"৳16,000,000","South Khulshi, Khulshi"
Pursue This 1300 Square Feet Flat To Buy In Bayazid,3,3,6,vacant,1300,chattogram,"৳6,200,000","Ali Nagar, Bayazid"
"At Momin Bagh R/A , A 3 Bedroom Large Residential Apartment For Sale",,,,,,chattogram,"৳4,800,000","Ali Nagar, Bayazid"
Buy This Great 2530 Sq Ft Apartment In Nasirabad,4,5,6,vacant,2530,chattogram,"৳29,095,000","Nasirabad, 15 No. Bagmoniram Ward"
Offering you 1650 SQ FT flat for sale in 9 No. North Pahartali Ward,4,3,9,vacant,1650,chattogram,"৳8,200,000","West Khulshi R/A, 9 No. North Pahartali Ward"
Buy This 980 Sq Ft Apartment With 2 Bedrooms In 24 No. North Agrabad Ward,2,2,5,vacant,980,chattogram,"৳4,200,000","24 No. North Agrabad Ward, Double Mooring"
1305 Sq Ft Modern Apartment For Sale At South Khulshi,3,3,5,vacant,1305,chattogram,"৳11,000,000","South Khulshi, Khulshi"
Great News! This 1200 Sq Ft Flat For Sale In 37 No. North-Middle Halishahar Ward Which Can Be Your Next Destination,3,3,4,vacant,1200,chattogram,"৳4,500,000","37 No. North-Middle Halishahar Ward, Halishahar"
Visit This 1592 Square Feet Residential Apartment At 16 No. Chawk Bazaar Ward For Sale,3,4,5,vacant,1592,chattogram,"৳8,560,000","Munshi Pukur Par, 16 No. Chawk Bazaar Ward"
See This 1300 Sq Ft Ready Comfortable Flat For Sale At Bayazid Near To Rahman Nagar Jaame Masjid,3,3,6,vacant,1300,chattogram,"৳7,500,000","Nasirabad, Bayazid"
A Nice And Comfortable 1262 Sq Ft Flat Is Up For Sale In Dewan Bazar,3,3,5,vacant,1262,chattogram,"৳5,679,000","Dewan Bazar, Bakalia"
View This 1186 Sq Ft Ready Apartment For Sale In Bakalia,3,3,8,vacant,1186,chattogram,"৳5,337,000","Dewan Bazar, Bakalia"
"At Mohara, Kazirhat 145 Sq Ft Commercial Area Is Available To Sale",,,1,vacant,145,chattogram,"৳2,900,000","Mohara, 4 No Chandgaon Ward"
2987 Square Feet Brand New Apartment Up For Sale In Panchlaish Residential Area,,,,,,chattogram,"৳27,000,000","Panchlaish Residential Area, 16 No. Chawk Bazaar Ward"
A 3 Bedroom And 1190 Sq Ft Properly Developed Flat For Sale In 7 No. West Sholoshohor Ward,,,,,,chattogram,"৳6,000,000",7 No. West Sholoshohor Ward
"At Bagmoniram, A Ready Flat Is Up For Sale Close To Jame Masjid",,,,,,chattogram,"৳15,500,000","Hillview Residential Area, 15 No. Bagmoniram Ward"
3.5 Katha Plot Is Up For Sale In Kaibalyadham Housing Society,,,,vacant,2520,chattogram,"৳14,500,000","Kaibalyadham Housing Society, 9 No. North Pahartali Ward"
tesdt 2,,,,,,chattogram,৳66,
Find 900 SQ FT flat available for Sale in Pahartali near to Mirza Ahmed Ispahani High School,,,,,,chattogram,"৳3,200,000","West Khulshi R/A, 9 No. North Pahartali Ward"
Look At This 1592 Square Feet Residential Apartment For Sale At 16 No. Chawk Bazaar Ward.,3,5,3,vacant,1592,chattogram,"৳8,560,000","Munshi Pukur Par, 16 No. Chawk Bazaar Ward"
"Choose Your Destination, 1150 Sq Ft Apartment Which Is Available To Sale In Double Mooring",3,2,2,vacant,1150,chattogram,"৳6,200,000","24 No. North Agrabad Ward, Double Mooring"
Take This Attractive Flat Which Is Up For Sale In Dewan Bazar Featuring 1186 Sq Ft,3,3,1,vacant,1186,chattogram,"৳5,337,000","Dewan Bazar, Bakalia"
"Take A Look At This 854 Sq Ft Apartment Up For Sale In Bakalia Residential Area, Bakalia",2,2,6,vacant,854,chattogram,"৳4,800,000","17 No West Bakalia Ward, Bakalia"
Settle Down In This 1450 Sq Ft Apartment Up For Sale At Khulshi,3,3,6,vacant,1450,chattogram,"৳8,500,000","Yakub Future Park Housing, Khulshi"
Check This Nice 1340 Sq Ft Flat For Sale At West Khulshi,3,3,8,vacant,1340,chattogram,"৳6,800,000","West Khulshi, 9 No. North Pahartali Ward"
"At 9 No. North Pahartali Ward, A 125 Sq Ft Suitable Commercial Shop Is Up For Sale",,,2,vacant,125,chattogram,"৳4,375,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
This 115 Square Feet Commercial Shop For Sale At 9 No. North Pahartali Ward.,,,2,vacant,115,chattogram,"৳4,025,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
Amazing 1400 Sq Ft Apartment Is Up For Sale And All Set For You To Settle In Bakalia,3,3,6,vacant,1400,chattogram,"৳7,700,000","Dewan Bazar, Bakalia"
A 150 Sq.Ft Commercial Office For Sale In Bahaddarhat Near To Bahaddarhat Jame Masjid.,,,5,vacant,150,chattogram,"৳3,700,000","CDA Avenue, Sholokbahar"
"Look At This Nice 950 Sq Ft Flat Is Up For Sale At Chadra Nagar, Bayazid",2,2,1,vacant,950,chattogram,"৳5,000,000","Chadra Nagar, Bayazid"
Check This Apartment Up For Sale At South Agrabad Near CDA Central Mosque.,3,3,4,vacant,1700,chattogram,"৳8,500,000","South Agrabad, Double Mooring"
1265 Sq. Ft Flat For Sale At Shamoly R/a Near Jamia Ahmadia Sunnia Alia Madrasah,3,3,3,vacant,1265,chattogram,"৳5,500,000","24 No. North Agrabad Ward, Double Mooring"
"Grab This Flat Of 1500 Sq Ft Which Is Up For Sale In Dewan Bazar, Bakalia Before It&#039;s Sold Out",3,3,3,vacant,1500,chattogram,"৳8,250,000","Dewan Bazar, Bakalia"
1850 Sq Ft Apartment Is Ready To Sale In Muradpur,3,4,7,vacant,1850,chattogram,"৳10,000,000","Nasirabad Housing Society, Muradpur"
A Convenient 1253 Sq Ft Residential Flat Is Prepared To Be Sold At Dewan Bazar,3,3,7,vacant,1253,chattogram,"৳5,638,500","Dewan Bazar, Bakalia"
11000 Sq Ft Full Building Is For Sale At Paharika Residential Area,7,8,,vacant,11000,chattogram,"৳45,000,000","South Khulshi, Khulshi"
An Office Space Of 150 Sq.Ft Is Vacant For Sale In Bahaddarhat Near To Bahaddarhat Jame Masjid,,,6,vacant,150,chattogram,"৳3,100,000","CDA Avenue, Sholokbahar"
1300 Sq Ft Flat With 3 Bedrooms For Sale At South Khulshi,3,3,6,vacant,1300,chattogram,"৳9,700,000","South Khulshi, Khulshi"
A 1850 Sq. Ft. Flat Is Now Up For Sale Located Near To Dakshin Kattali Pranhory Gov. Model Primary School In Kattali,,,,,,chattogram,"৳8,500,000","Proshanti R/A, 10 No. North Kattali Ward"
1320 Sq Ft Flat With 3 Bedrooms For Sale In 7 No. West Sholoshohor Ward,3,3,3,vacant,1320,chattogram,"৳7,000,000","CDA Avenue, 7 No. West Sholoshohor Ward"
For Sale Purpose 1100 Sq Ft Commendable Designed Apartment Is Available In 19 No. South Bakalia Ward,3,3,5,vacant,1100,chattogram,"৳5,500,000","19 No. South Bakalia Ward, Bakalia"
This 1612 Sq Ft Apartment Is Ready For Sale In Jamal Khan,3,3,3,vacant,1612,chattogram,"৳12,000,000","Rahmatganj, Jamal Khan"
965 Sq Ft Apartment Is Up For Sale In 33 No. Firingee Bazaar Ward,3,3,7,vacant,965,chattogram,"৳5,200,000","Abhoy Mitra Lane, 33 No. Firingee Bazaar Ward"
2200 Sq Ft Apartment Is Ready For Sale At 26 No. North Halishahar Ward,3,3,7,vacant,2200,chattogram,"৳12,100,000","26 No. North Halishahar Ward, Halishahar"
Acquire This Shop Which Is Up For Sale In Bandartila Near Navy Hospital,,,1,vacant,169,chattogram,"৳5,175,000","39 No. South Halishahar Ward, Halishahar"
"Lovely Flat Of 1250 Sq Ft Is Available For Sale In Halishahar, Near Halishahar Police Station",3,3,6,vacant,1250,chattogram,"৳7,500,000","26 No. North Halishahar Ward, Halishahar"
1400 Sq Ft Flat Is Up For Sale At 7 No. West Sholoshohor Ward,3,3,1,vacant,1400,chattogram,"৳8,500,000","Mohammad Pur Road, 7 No. West Sholoshohor Ward"
"Buy This Nice 1200 Sq Ft Apartment In Halishahar, To Fulfill Your Wish",3,3,4,vacant,1200,chattogram,"৳4,500,000","37 No. North-Middle Halishahar Ward, Halishahar"
"A Comfy 2100 Sq Ft Flat For A Family Is Here For Sale In Rose Valley R/a, Right Close To Ktc",3,4,3,vacant,2100,chattogram,"৳16,000,000","Rose Valley Residential Area, 9 No. North Pahartali Ward"
"150 Sq Ft Delightful Shop For Sale In 9 No. North Pahartali Ward, Dhaka Trunk Road",,,4,vacant,150,chattogram,"৳3,000,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
Envision Your Business Growing In This 125 Sq Ft Shop Space For Sale In 9 No. North Pahartali Ward,,,3,vacant,125,chattogram,"৳4,375,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
125 Sq Ft Shop Property For Sale In 9 No. North Pahartali Ward,,,5,vacant,125,chattogram,"৳4,375,000","Dhaka Trunk Road, 9 No. North Pahartali Ward"
A Very Well-fitted Apartment Is Here Sited At Foys Lake Featuring 1600 Sq Ft Space For Sale.,3,3,6,vacant,1600,chattogram,"৳7,000,000","Foys Lake, 9 No. North Pahartali Ward"
"This 1240 Square Feet Apartment Is Ready For Sale At Lake View Society, 9 No. North Pahartali Ward",3,3,6,vacant,1240,chattogram,"৳5,000,000","Foys Lake, 9 No. North Pahartali Ward"
"Well Set Commercial Shop For Sale Is Available In Firinghee Bazar, Near Islamia University College, Chattagram",,,1,vacant,120,chattogram,"৳2,500,000","Sadarghat Road, 33 No. Firingee Bazaar Ward"
"A Nicely Planned 1050 Sq Ft Flat Is Up For Sale In Ashkar Dighir Par, Jamal Khan",3,3,4,vacant,1050,chattogram,"৳7,000,000","Ashkar Dighir Par, Jamal Khan"
Close To East Madarbari City Corporation Girls High School A 1270 Square Feet Residential Apartment For Sale.,3,3,3,vacant,1270,chattogram,"৳6,604,000","Majhirghat Road, 30 No. East Madarbari Ward"
"Apartment Of 1350 Sq Ft For Sale In Bangla Bazar, Bayazid",3,3,1,vacant,1350,chattogram,"৳6,000,000","Bangla Bazar, Bayazid"
A Convenient 2252 Sq Ft Residential Flat Is Prepared To Be Sold At 31 No. Alkoron Ward,4,4,1,vacant,2252,chattogram,"৳11,260,000","Alkaran Road, 31 No. Alkoron Ward"
Completely Suitable And Ready Flat Of 1350 Sq Ft Is Up For Sale In New Monsurabad,3,3,1,vacant,1350,chattogram,"৳6,831,000",10 No. North Kattali Ward
A Well-constructed 2500 Sq Ft Flat Is For Sale In 31 No. Alkoron Ward,4,5,8,vacant,2500,chattogram,"৳17,500,000","Alkaran Road, 31 No. Alkoron Ward"
Nasirabad Is Offering You A 2540 Sq Ft Apartment For Sale,4,5,8,vacant,2540,chattogram,"৳29,210,000","Nasirabad, 15 No. Bagmoniram Ward"
Pursue This 2530 Sq Ft Apartment For Sale In 15 No. Bagmoniram Ward,4,5,8,vacant,2530,chattogram,"৳29,095,000","Nasirabad, 15 No. Bagmoniram Ward"
View This 2622 Sq Ft Apartment Set To Sale In Nasirabad,4,5,7,vacant,2622,chattogram,"৳30,153,000","Nasirabad, 15 No. Bagmoniram Ward"
"Explore This 2530 Sq Ft Apartment for Sale in 15 No. Bagmoniram Ward, Chattogram",4,5,7,vacant,2530,chattogram,"৳29,095,000","Nasirabad, 15 No. Bagmoniram Ward"
"1300 Sq Ft Apartment For Sale In Chandra Nagar, Near Abu Darda Jamgee Masjid",3,2,1,vacant,1300,chattogram,"৳5,800,000","Chadra Nagar, Bayazid"
Visit This Apartment For Sale In Hamjarbag Near Gausia Huq Bhandari Khankah Sharif.,3,3,7,vacant,1300,chattogram,"৳8,200,000","Hamjarbag, 7 No. West Sholoshohor Ward"
A Proper 1600 Sq Ft Residence Is Prepared To Be Sold At Khulshi,3,3,2,vacant,1600,chattogram,"৳10,000,000","South Khulshi, Khulshi"
Visit This 1240 Sq Ft Brand New Apartment For Sale In 4 No Chandgaon Ward,3,3,2,vacant,1240,chattogram,"৳7,000,000","Chand Mia Road, 4 No Chandgaon Ward"
A Residential Building Which Is Up For Sale At Rose Valley Residential Area Near To Akbar Shah (Rah:) Jame Masjid.,21,10,0+7,vacant,13300,chattogram,"৳105,000,000","Rose Valley Residential Area, 9 No. North Pahartali Ward"
"A Flat Can Be Found In Nasirabad For Sale , Near Asian University For Women",4,4,1,vacant,2600,chattogram,"৳18,500,000","Nasirabad, 15 No. Bagmoniram Ward"
Ready Flat 2410 Sq Ft Is Now For Sale In Bagmoniram Nearby Shahid Zia Shishu Park,4,5,4,vacant,2410,chattogram,"৳15,500,000","Chatteshwari Road, 15 No. Bagmoniram Ward"
850 Sq Ft Ready Comfortable Flat For Sale At Bayazid Close To Bangla Bazar Boro Pahar Jame Mosjid,3,2,1,vacant,850,chattogram,"৳3,900,000","Bangla Bazar, Bayazid"
Well-developed 1455 Sq Ft Residence Up For Sale In Jamal Khan,3,3,1,vacant,1455,chattogram,"৳12,500,000","Shahid Saifuddin Khaled Road, Jamal Khan"
1460 Square Feet Flat For Sale Is Positioned In A Desirable Place Like Chandgaon Residential Area,3,3,5,vacant,1460,chattogram,"৳8,100,000","Chandgaon Residential Area, 4 No Chandgaon Ward"
"Pursue This 1756 Sq Ft Ready Flat Up For Sale At Bayazid, Polytechnic",3,4,4,vacant,1756,chattogram,"৳9,000,000","Polytechnic, Bayazid"
Visit This Apartment For Sale In Patharghata Near St. Placid&#039;s School and College.,3,3,7,vacant,1580,chattogram,"৳7,200,000","Patharghata, Kotwali"
4000  Sq Ft Office Space Up For Sale In Double Mooring Near To Dutch-bangla Bank Limited.,,,11,vacant,4000,chattogram,"৳58,000,000","Commerce College Road, Double Mooring"
"Situated In Sholokbahar, A 1744 Sq Ft Apartment Is Up For Sale",3,3,6,vacant,1744,chattogram,"৳8,700,000","Badurtala, Sholokbahar"
A Moderate 966 Sq Ft Flat Is Available For Sale At Mousumi Residential Area,2,2,5,vacant,966,chattogram,"৳3,800,000","12 No. Sarai Para Ward, Double Mooring"
3000 Square Feet Large Office Space For Sale At Pahartali .,,,,vacant,3000,chattogram,"৳30,000,000","12 No. Sarai Para Ward, Double Mooring"
"Find Your Desired Home At This 1750 Sq Ft Well Featured Flat For Sale At 25 No. Rampur Ward, Double Mooring",3,3,5,vacant,1750,chattogram,"৳9,500,000","25 No. Rampur Ward, Double Mooring"
Lovely Apartment Of 1459 Sq Ft Is Up For Sale In 24 No. North Agrabad Ward,3,3,5,vacant,1459,chattogram,"৳8,462,200","24 No. North Agrabad Ward, Double Mooring"
Buy This 1415 Sq Ft Apartment In Double Mooring,3,3,2,vacant,1415,chattogram,"৳5,820,000","12 No. Sarai Para Ward, Double Mooring"
This 854 Sq Ft Apartment Is Designed For Your Modern Residential Experience In 17 No West Bakalia Ward,2,2,3,vacant,854,chattogram,"৳4,500,000","17 No West Bakalia Ward, Bakalia"
An Amazing Flat Is Ready For Sale At Nasirabad Near O R Nizam Road Residential Area,3,3,4,vacant,1520,chattogram,"৳16,000,000","Nasirabad, 15 No. Bagmoniram Ward"
A Comfy Life Is Awaiting You In This 1575 Sq Ft Apartment Ready For Sale At Katalganj R/a,3,3,5,vacant,1575,chattogram,"৳14,014,000","Katalganj Residential Area, 16 No. Chawk Bazaar Ward"
All Set For Selling Purpose This 1485 Sq Ft Flat In A Peaceful Location Of 22 No. Enayet Bazaar Ward.,3,4,2,vacant,1485,chattogram,"৳12,000,000","Jubilee Road, 22 No. Enayet Bazaar Ward"
Buy This Great 1430 Sq Ft Apartment In 17 No West Bakalia Ward,3,3,1,vacant,1430,chattogram,"৳6,600,000","17 No West Bakalia Ward, Bakalia"
"Take A Quick Look At This 1485 Sq Ft Flat For Sale In Proshanti R/A, 10 No. North Kattali Ward .",3,3,2,vacant,1485,chattogram,"৳8,000,000","Proshanti R/A, 10 No. North Kattali Ward"
A 1664 Sq Ft Ready Flat Is Here For Sale At 15 No. Bagmoniram Ward,3,3,7,vacant,1664,chattogram,"৳9,200,000","Masjid Lane, 15 No. Bagmoniram Ward"
"Checkout This 1800 Square Feet Flat Up For Sale At Nasirabad, Rahman Nagar",3,4,6,vacant,1800,chattogram,"৳12,500,000","Nasirabad, Bayazid"
3 Bedroom Residence | Non Furnished | Ready To Sale in Nasirabad,3,5,12,vacant,2000,chattogram,"৳13,000,000","Nasirabad, Bayazid"
Apartment For Sale In Chasma Hill R/a Nearby Jamuna Bank Limited,3,3,5,vacant,1500,chattogram,"৳6,000,000","Chasma Hill R/A, 7 No. West Sholoshohor Ward"
Beautifully Decorated Flat Covering An Area Of 1570 Sq Ft Is Available For Sale In East Bakalia Ward,3,3,6,vacant,1570,chattogram,"৳6,280,000","18 No. East Bakalia Ward, Bakalia"
A Strongly Structured Apartment Of 1570 Sq Ft Is Available For Sale In Kalamia Bazar,3,3,4,vacant,1570,chattogram,"৳6,280,000","18 No. East Bakalia Ward, Bakalia"
"1335 Square Feet Apartment Ready For Sales At Kalamia Bazar ,Bakalia .",3,3,5,vacant,1335,chattogram,"৳5,340,000","18 No. East Bakalia Ward, Bakalia"
A well-constructed 1325 SQ FT flat is for sale in 18 No. East Bakalia Ward,3,3,4,vacant,1325,chattogram,"৳5,900,000","18 No. East Bakalia Ward, Bakalia"
A Shop Is Up For Sale In Mohara Near Kazirhat Post office,,,,vacant,104,chattogram,"৳2,184,000","Mohara, 4 No Chandgaon Ward"
A Shop Nearer To Darul Ma&#039;arif Al Islamia Jame Masjid Is Available For Sale In 4 No Chandgaon Ward,,,1,vacant,124,chattogram,"৳2,232,000","Chand Mia Road, 4 No Chandgaon Ward"
Apartment for sale in Bakalia close to Bakalia High School,3,3,3,vacant,1471,chattogram,"৳6,100,000","17 No West Bakalia Ward, Bakalia"
Residential Building For Sale In Lal Khan Bazaar Near CDA Avenue Mosque,21,10,1,vacant,24000,chattogram,"৳60,000,000","CDA Avenue, Lal Khan Bazaar"
Modern 1692 SFT ready apartment for sale in Panchlaish,3,3,9,vacant,1692,chattogram,"৳16,000,000",Panchlaish
A 1400 Sq Ft Ready Flat Is Vacant For Sale At 15 No. Bagmoniram Ward,3,3,6,vacant,1400,chattogram,"৳11,200,000",15 No. Bagmoniram Ward
Ideal Flat of 1462 SFT In 10 No. North Kattali Available For sale,3,3,7,vacant,1462,chattogram,"৳9,500,000","CDA R/A, 10 No. North Kattali Ward"
At Saha Waliullah R/A 1320 Square Feet Flat Up For Sale.,3,3,1,vacant,1320,chattogram,"৳5,940,000","Bahaddarhat, 4 No Chandgaon Ward"
Check This 1320 Sq.Ft Apartment Up For Sale At Bahaddarhat Very Near To Bahaddarhat BWDB office.,3,3,4,vacant,1320,chattogram,"৳5,940,000","Bahaddarhat, 4 No Chandgaon Ward"
Shop Space Up For Sale In Bandartila Nearby Bandartila Eye Hospital,,,4,vacant,180,chattogram,"৳1,800,000","39 No. South Halishahar Ward, Halishahar"
Acquire This Shop Which Is Up For Sale In Bandartila Near Islami Bank Bangladesh Limited,,,4,vacant,200,chattogram,"৳2,000,000","39 No. South Halishahar Ward, Halishahar"
At Kazirhat 110 Sq Ft Shop Is Ready For Sale,,,,vacant,110,chattogram,"৳2,750,000","Mohara, 4 No Chandgaon Ward"
Commercial Shop Of 120 Sq Ft Is Up For Sale At Kazirhat,,,1,vacant,120,chattogram,"৳2,640,000","Mohara, 4 No Chandgaon Ward"
"At Kazirhat 115 Sq Ft Commercial Shop Is Up For Sale At Mohara, Kazirhat",,,1,vacant,115,chattogram,"৳2,300,000","Mohara, 4 No Chandgaon Ward"
A Commercial Shop Of 154 Sq. Ft. Is Ready For Sale At Mohara,,,1,vacant,154,chattogram,"৳3,080,000","Mohara, 4 No Chandgaon Ward"
Grab This 1400 Sq Ft Flat Up For Sale In Chattogram DOHS,3,3,6,vacant,1400,chattogram,"৳7,000,000","Chattogram DOHS, Bayazid"
A Convenient 1650 Sq Ft Residential Flat Is Prepared To Be Sold At Sarai Para,3,3,7,vacant,1650,chattogram,"৳6,600,000","12 No. Sarai Para Ward, Double Mooring"
Modern 1150 Sq Ft Flat Is Up For Sale In Sarai Para,2,2,2,vacant,1150,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
Suitable Shop In Chandargaon Is For sale,,,1,vacant,175,chattogram,"৳3,500,000","Mohara, 4 No Chandgaon Ward"
A Decent 1150 Sq.Ft Residential Apartment For Sale At Pahartali,2,2,5,vacant,1150,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
A Well Defined Flat Of 1150 Sq Ft In Pahartali Is Available For Sale,2,2,5,vacant,1150,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
A Delightful Apartment Of 1150 Sq Ft Is Ready To Sale In A Great Location Of Pahartali.,2,2,6,vacant,1150,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
A 2 Bedroom Residential Apartment For Sale At Pahartali,2,2,6,vacant,1150,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
1050 Sq.ft Flat For Sale At Pahartali,2,2,1,vacant,1050,chattogram,"৳4,200,000","12 No. Sarai Para Ward, Double Mooring"
A Large 1150 Sq.Ft Flat Is Up For Sale At Pahartali Very Close To Janata Bank Limited,2,2,1,vacant,1150,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
Shop for Sale in Chandgaon nearby EBL,,,,vacant,129,chattogram,"৳2,580,000","Mohara, 4 No Chandgaon Ward"
In Terry Bazar A 200 Square Feet Shop Is Ready And Vacant For Sale.,,,5,vacant,200,chattogram,"৳4,600,000","Dewan Bazar, Bakalia"
View This 200 Sq Ft Shop For Sale At Bakalia,,,3,vacant,200,chattogram,"৳4,600,000","Dewan Bazar, Bakalia"
Buy This Cozy 200 Sq Ft Shop At Bakalia,,,3,vacant,200,chattogram,"৳4,600,000","Dewan Bazar, Bakalia"
Bakalia Is Offering You A 200 Sq Ft Shop For Sale,,,3,vacant,200,chattogram,"৳4,600,000","Dewan Bazar, Bakalia"
This 1744 Sq Ft Apartment With A Friendly Neighborhood Is Ready For Sale In 4 No Chandgaon Ward,3,3,7,vacant,1744,chattogram,"৳12,000,000","Chand Mia Road, 4 No Chandgaon Ward"
"An Apartment Is Ready For Sale At Nasirabad Properties Residential Area, Near Ncc Bank Limited.",3,4,2,vacant,2060,chattogram,"৳11,500,000","Nasirabad Properties Residential Area, Khulshi"
This 1400 Sq Ft Commercial Space Is Ready For Sale At 32 No. Andarkilla Ward,,,4,vacant,1400,chattogram,"৳8,400,000",32 No. Andarkilla Ward
Buy This 900 Sq Ft Commercial Space In 32 No. Andarkilla Ward,,,4,vacant,900,chattogram,"৳5,400,000",32 No. Andarkilla Ward
